CodigoEstacion,NombreEstacion,Latitud,Longitud,Altitud,Categoria,Entidad,AreaOperativa,Departamento,Municipio,FechaInstalacion,FechaSuspension,IdParametro,Etiqueta,DescripcionSerie,Frecuencia,Fecha,Valor,Grado,Calificador,NivelAprobacion
35075080,PARAMO RABANAL - AUT [35075080],5.3923888890,-73.56277778,3398,Climática Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Boyacá,Ventaquemada,13/03/2005 00:00,,EVAPORACION,EV_TT_D,Evaporación total diaria,Diaria,2020-05-22 00:00,147,50,,900
35075080,PARAMO RABANAL - AUT [35075080],5.3923888890,-73.56277778,3398,Climática Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Boyacá,Ventaquemada,13/03/2005 00:00,,EVAPORACION,EV_TT_D,Evaporación total diaria,Diaria,2020-05-23 00:00,153,50,,900
35075080,PARAMO RABANAL - AUT [35075080],5.3923888890,-73.56277778,3398,Climática Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Boyacá,Ventaquemada,13/03/2005 00:00,,EVAPORACION,EV_TT_D,Evaporación total diaria,Diaria,2020-05-24 00:00,171,50,,900
35075080,PARAMO RABANAL - AUT [35075080],5.3923888890,-73.56277778,3398,Climática Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Boyacá,Ventaquemada,13/03/2005 00:00,,EVAPORACION,EV_TT_D,Evaporación total diaria,Diaria,2020-05-25 00:00,16,50,,900
35075080,PARAMO RABANAL - AUT [35075080],5.3923888890,-73.56277778,3398,Climática Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Boyacá,Ventaquemada,13/03/2005 00:00,,EVAPORACION,EV_TT_D,Evaporación total diaria,Diaria,2020-05-26 00:00,0,-1,,900
35075080,PARAMO RABANAL - AUT [35075080],5.3923888890,-73.56277778,3398,Climática Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Boyacá,Ventaquemada,13/03/2005 00:00,,EVAPORACION,EV_TT_D,Evaporación total diaria,Diaria,2020-05-27 00:00,0,-1,,900
35075080,PARAMO RABANAL - AUT [35075080],5.3923888890,-73.56277778,3398,Climática Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Boyacá,Ventaquemada,13/03/2005 00:00,,EVAPORACION,EV_TT_D,Evaporación total diaria,Diaria,2020-05-28 00:00,0,-1,,900
35075080,PARAMO RABANAL - AUT [35075080],5.3923888890,-73.56277778,3398,Climática Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Boyacá,Ventaquemada,13/03/2005 00:00,,EVAPORACION,EV_TT_D,Evaporación total diaria,Diaria,2020-05-29 00:00,0,-1,,900
35075080,PARAMO RABANAL - AUT [35075080],5.3923888890,-73.56277778,3398,Climática Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Boyacá,Ventaquemada,13/03/2005 00:00,,EVAPORACION,EV_TT_D,Evaporación total diaria,Diaria,2020-05-30 00:00,0,-1,,900
35075080,PARAMO RABANAL - AUT [35075080],5.3923888890,-73.56277778,3398,Climática Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Boyacá,Ventaquemada,13/03/2005 00:00,,EVAPORACION,EV_TT_D,Evaporación total diaria,Diaria,2020-05-31 00:00,0,-1,,900
35075080,PARAMO RABANAL - AUT [35075080],5.3923888890,-73.56277778,3398,Climática Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Boyacá,Ventaquemada,13/03/2005 00:00,,EVAPORACION,EV_TT_D,Evaporación total diaria,Diaria,2020-06-01 00:00,56,-1,,900
24035430,TUNGUAVITA - AUT [24035430],5.7459166670,-73.11636111,2470,Agrometeorológica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Boyacá,Paipa,15/12/2004 00:00,,EVAPORACION,EV_TT_D,Evaporación total diaria,Diaria,2019-12-01 00:00,0,-1,,900
24035430,TUNGUAVITA - AUT [24035430],5.7459166670,-73.11636111,2470,Agrometeorológica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Boyacá,Paipa,15/12/2004 00:00,,EVAPORACION,EV_TT_D,Evaporación total diaria,Diaria,2019-12-02 00:00,0,-1,,900
24035430,TUNGUAVITA - AUT [24035430],5.7459166670,-73.11636111,2470,Agrometeorológica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Boyacá,Paipa,15/12/2004 00:00,,EVAPORACION,EV_TT_D,Evaporación total diaria,Diaria,2019-12-03 00:00,0,-1,,900
24035430,TUNGUAVITA - AUT [24035430],5.7459166670,-73.11636111,2470,Agrometeorológica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Boyacá,Paipa,15/12/2004 00:00,,EVAPORACION,EV_TT_D,Evaporación total diaria,Diaria,2019-12-04 00:00,0,-1,,900
24035430,TUNGUAVITA - AUT [24035430],5.7459166670,-73.11636111,2470,Agrometeorológica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Boyacá,Paipa,15/12/2004 00:00,,EVAPORACION,EV_TT_D,Evaporación total diaria,Diaria,2019-12-05 00:00,0,-1,,900
24035430,TUNGUAVITA - AUT [24035430],5.7459166670,-73.11636111,2470,Agrometeorológica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Boyacá,Paipa,15/12/2004 00:00,,EVAPORACION,EV_TT_D,Evaporación total diaria,Diaria,2019-12-06 00:00,0,-1,,900
24035430,TUNGUAVITA - AUT [24035430],5.7459166670,-73.11636111,2470,Agrometeorológica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Boyacá,Paipa,15/12/2004 00:00,,EVAPORACION,EV_TT_D,Evaporación total diaria,Diaria,2019-12-07 00:00,0,-1,,900
24035430,TUNGUAVITA - AUT [24035430],5.7459166670,-73.11636111,2470,Agrometeorológica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Boyacá,Paipa,15/12/2004 00:00,,EVAPORACION,EV_TT_D,Evaporación total diaria,Diaria,2019-12-08 00:00,0,-1,,900
24035430,TUNGUAVITA - AUT [24035430],5.7459166670,-73.11636111,2470,Agrometeorológica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Boyacá,Paipa,15/12/2004 00:00,,EVAPORACION,EV_TT_D,Evaporación total diaria,Diaria,2019-12-09 00:00,0,-1,,900
24035430,TUNGUAVITA - AUT [24035430],5.7459166670,-73.11636111,2470,Agrometeorológica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Boyacá,Paipa,15/12/2004 00:00,,EVAPORACION,EV_TT_D,Evaporación total diaria,Diaria,2019-12-10 00:00,0,50,,900
24035430,TUNGUAVITA - AUT [24035430],5.7459166670,-73.11636111,2470,Agrometeorológica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Boyacá,Paipa,15/12/2004 00:00,,EVAPORACION,EV_TT_D,Evaporación total diaria,Diaria,2019-12-11 00:00,0,-1,,900
24035430,TUNGUAVITA - AUT [24035430],5.7459166670,-73.11636111,2470,Agrometeorológica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Boyacá,Paipa,15/12/2004 00:00,,EVAPORACION,EV_TT_D,Evaporación total diaria,Diaria,2019-12-12 00:00,0,-1,,900
24035430,TUNGUAVITA - AUT [24035430],5.7459166670,-73.11636111,2470,Agrometeorológica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Boyacá,Paipa,15/12/2004 00:00,,EVAPORACION,EV_TT_D,Evaporación total diaria,Diaria,2019-12-13 00:00,0,50,,900
24035430,TUNGUAVITA - AUT [24035430],5.7459166670,-73.11636111,2470,Agrometeorológica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Boyacá,Paipa,15/12/2004 00:00,,EVAPORACION,EV_TT_D,Evaporación total diaria,Diaria,2019-12-14 00:00,0,-1,,900
24035430,TUNGUAVITA - AUT [24035430],5.7459166670,-73.11636111,2470,Agrometeorológica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Boyacá,Paipa,15/12/2004 00:00,,EVAPORACION,EV_TT_D,Evaporación total diaria,Diaria,2019-12-15 00:00,0,-1,,900
24035430,TUNGUAVITA - AUT [24035430],5.7459166670,-73.11636111,2470,Agrometeorológica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Boyacá,Paipa,15/12/2004 00:00,,EVAPORACION,EV_TT_D,Evaporación total diaria,Diaria,2019-12-16 00:00,0,-1,,900
24035430,TUNGUAVITA - AUT [24035430],5.7459166670,-73.11636111,2470,Agrometeorológica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Boyacá,Paipa,15/12/2004 00:00,,EVAPORACION,EV_TT_D,Evaporación total diaria,Diaria,2019-12-17 00:00,0,-1,,900
24035430,TUNGUAVITA - AUT [24035430],5.7459166670,-73.11636111,2470,Agrometeorológica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Boyacá,Paipa,15/12/2004 00:00,,EVAPORACION,EV_TT_D,Evaporación total diaria,Diaria,2019-12-18 00:00,0,-1,,900
24035430,TUNGUAVITA - AUT [24035430],5.7459166670,-73.11636111,2470,Agrometeorológica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Boyacá,Paipa,15/12/2004 00:00,,EVAPORACION,EV_TT_D,Evaporación total diaria,Diaria,2019-12-19 00:00,0,-1,,900
24035430,TUNGUAVITA - AUT [24035430],5.7459166670,-73.11636111,2470,Agrometeorológica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Boyacá,Paipa,15/12/2004 00:00,,EVAPORACION,EV_TT_D,Evaporación total diaria,Diaria,2019-12-20 00:00,0,-1,,900
24035430,TUNGUAVITA - AUT [24035430],5.7459166670,-73.11636111,2470,Agrometeorológica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Boyacá,Paipa,15/12/2004 00:00,,EVAPORACION,EV_TT_D,Evaporación total diaria,Diaria,2019-12-21 00:00,0,50,,900
24035430,TUNGUAVITA - AUT [24035430],5.7459166670,-73.11636111,2470,Agrometeorológica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Boyacá,Paipa,15/12/2004 00:00,,EVAPORACION,EV_TT_D,Evaporación total diaria,Diaria,2019-12-22 00:00,0,-1,,900
24035430,TUNGUAVITA - AUT [24035430],5.7459166670,-73.11636111,2470,Agrometeorológica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Boyacá,Paipa,15/12/2004 00:00,,EVAPORACION,EV_TT_D,Evaporación total diaria,Diaria,2019-12-23 00:00,0,-1,,900
24035430,TUNGUAVITA - AUT [24035430],5.7459166670,-73.11636111,2470,Agrometeorológica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Boyacá,Paipa,15/12/2004 00:00,,EVAPORACION,EV_TT_D,Evaporación total diaria,Diaria,2019-12-24 00:00,0,50,,900
24035430,TUNGUAVITA - AUT [24035430],5.7459166670,-73.11636111,2470,Agrometeorológica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Boyacá,Paipa,15/12/2004 00:00,,EVAPORACION,EV_TT_D,Evaporación total diaria,Diaria,2019-12-25 00:00,0,-1,,900
24035430,TUNGUAVITA - AUT [24035430],5.7459166670,-73.11636111,2470,Agrometeorológica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Boyacá,Paipa,15/12/2004 00:00,,EVAPORACION,EV_TT_D,Evaporación total diaria,Diaria,2019-12-26 00:00,0,-1,,900
24035430,TUNGUAVITA - AUT [24035430],5.7459166670,-73.11636111,2470,Agrometeorológica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Boyacá,Paipa,15/12/2004 00:00,,EVAPORACION,EV_TT_D,Evaporación total diaria,Diaria,2019-12-27 00:00,0,-1,,900
24035430,TUNGUAVITA - AUT [24035430],5.7459166670,-73.11636111,2470,Agrometeorológica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Boyacá,Paipa,15/12/2004 00:00,,EVAPORACION,EV_TT_D,Evaporación total diaria,Diaria,2019-12-28 00:00,0,50,,900
24035430,TUNGUAVITA - AUT [24035430],5.7459166670,-73.11636111,2470,Agrometeorológica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Boyacá,Paipa,15/12/2004 00:00,,EVAPORACION,EV_TT_D,Evaporación total diaria,Diaria,2019-12-29 00:00,0,50,,900
24035430,TUNGUAVITA - AUT [24035430],5.7459166670,-73.11636111,2470,Agrometeorológica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Boyacá,Paipa,15/12/2004 00:00,,EVAPORACION,EV_TT_D,Evaporación total diaria,Diaria,2019-12-30 00:00,0,-1,,900
24035430,TUNGUAVITA - AUT [24035430],5.7459166670,-73.11636111,2470,Agrometeorológica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Boyacá,Paipa,15/12/2004 00:00,,EVAPORACION,EV_TT_D,Evaporación total diaria,Diaria,2019-12-31 00:00,0,-1,,900
24035430,TUNGUAVITA - AUT [24035430],5.7459166670,-73.11636111,2470,Agrometeorológica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Boyacá,Paipa,15/12/2004 00:00,,EVAPORACION,EV_TT_D,Evaporación total diaria,Diaria,2020-01-01 00:00,0,-1,,900
24035430,TUNGUAVITA - AUT [24035430],5.7459166670,-73.11636111,2470,Agrometeorológica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Boyacá,Paipa,15/12/2004 00:00,,EVAPORACION,EV_TT_D,Evaporación total diaria,Diaria,2020-01-02 00:00,0,-1,,900
24035430,TUNGUAVITA - AUT [24035430],5.7459166670,-73.11636111,2470,Agrometeorológica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Boyacá,Paipa,15/12/2004 00:00,,EVAPORACION,EV_TT_D,Evaporación total diaria,Diaria,2020-01-03 00:00,0,50,,900
24035430,TUNGUAVITA - AUT [24035430],5.7459166670,-73.11636111,2470,Agrometeorológica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Boyacá,Paipa,15/12/2004 00:00,,EVAPORACION,EV_TT_D,Evaporación total diaria,Diaria,2020-01-04 00:00,0,50,,900
24035430,TUNGUAVITA - AUT [24035430],5.7459166670,-73.11636111,2470,Agrometeorológica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Boyacá,Paipa,15/12/2004 00:00,,EVAPORACION,EV_TT_D,Evaporación total diaria,Diaria,2020-01-05 00:00,0,-1,,900
24035430,TUNGUAVITA - AUT [24035430],5.7459166670,-73.11636111,2470,Agrometeorológica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Boyacá,Paipa,15/12/2004 00:00,,EVAPORACION,EV_TT_D,Evaporación total diaria,Diaria,2020-01-06 00:00,0,-1,,900
24035430,TUNGUAVITA - AUT [24035430],5.7459166670,-73.11636111,2470,Agrometeorológica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Boyacá,Paipa,15/12/2004 00:00,,EVAPORACION,EV_TT_D,Evaporación total diaria,Diaria,2020-01-07 00:00,0,50,,900
24035430,TUNGUAVITA - AUT [24035430],5.7459166670,-73.11636111,2470,Agrometeorológica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Boyacá,Paipa,15/12/2004 00:00,,EVAPORACION,EV_TT_D,Evaporación total diaria,Diaria,2020-01-08 00:00,0,-1,,900
24035430,TUNGUAVITA - AUT [24035430],5.7459166670,-73.11636111,2470,Agrometeorológica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Boyacá,Paipa,15/12/2004 00:00,,EVAPORACION,EV_TT_D,Evaporación total diaria,Diaria,2020-01-09 00:00,0,-1,,900
24035430,TUNGUAVITA - AUT [24035430],5.7459166670,-73.11636111,2470,Agrometeorológica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Boyacá,Paipa,15/12/2004 00:00,,EVAPORACION,EV_TT_D,Evaporación total diaria,Diaria,2020-01-10 00:00,0,50,,900
24035430,TUNGUAVITA - AUT [24035430],5.7459166670,-73.11636111,2470,Agrometeorológica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Boyacá,Paipa,15/12/2004 00:00,,EVAPORACION,EV_TT_D,Evaporación total diaria,Diaria,2020-01-11 00:00,0,50,,900
24035430,TUNGUAVITA - AUT [24035430],5.7459166670,-73.11636111,2470,Agrometeorológica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Boyacá,Paipa,15/12/2004 00:00,,EVAPORACION,EV_TT_D,Evaporación total diaria,Diaria,2020-01-12 00:00,0,-1,,900
24035430,TUNGUAVITA - AUT [24035430],5.7459166670,-73.11636111,2470,Agrometeorológica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Boyacá,Paipa,15/12/2004 00:00,,EVAPORACION,EV_TT_D,Evaporación total diaria,Diaria,2020-01-13 00:00,0,-1,,900
24035430,TUNGUAVITA - AUT [24035430],5.7459166670,-73.11636111,2470,Agrometeorológica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Boyacá,Paipa,15/12/2004 00:00,,EVAPORACION,EV_TT_D,Evaporación total diaria,Diaria,2020-01-14 00:00,0,50,,900
24035430,TUNGUAVITA - AUT [24035430],5.7459166670,-73.11636111,2470,Agrometeorológica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Boyacá,Paipa,15/12/2004 00:00,,EVAPORACION,EV_TT_D,Evaporación total diaria,Diaria,2020-01-15 00:00,0,-1,,900
24035430,TUNGUAVITA - AUT [24035430],5.7459166670,-73.11636111,2470,Agrometeorológica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Boyacá,Paipa,15/12/2004 00:00,,EVAPORACION,EV_TT_D,Evaporación total diaria,Diaria,2020-01-16 00:00,0,-1,,900
24035430,TUNGUAVITA - AUT [24035430],5.7459166670,-73.11636111,2470,Agrometeorológica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Boyacá,Paipa,15/12/2004 00:00,,EVAPORACION,EV_TT_D,Evaporación total diaria,Diaria,2020-01-17 00:00,0,-1,,900
24035430,TUNGUAVITA - AUT [24035430],5.7459166670,-73.11636111,2470,Agrometeorológica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Boyacá,Paipa,15/12/2004 00:00,,EVAPORACION,EV_TT_D,Evaporación total diaria,Diaria,2020-01-18 00:00,0,-1,,900
24035430,TUNGUAVITA - AUT [24035430],5.7459166670,-73.11636111,2470,Agrometeorológica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Boyacá,Paipa,15/12/2004 00:00,,EVAPORACION,EV_TT_D,Evaporación total diaria,Diaria,2020-01-19 00:00,0,50,,900
24035430,TUNGUAVITA - AUT [24035430],5.7459166670,-73.11636111,2470,Agrometeorológica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Boyacá,Paipa,15/12/2004 00:00,,EVAPORACION,EV_TT_D,Evaporación total diaria,Diaria,2020-01-20 00:00,0,50,,900
24035430,TUNGUAVITA - AUT [24035430],5.7459166670,-73.11636111,2470,Agrometeorológica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Boyacá,Paipa,15/12/2004 00:00,,EVAPORACION,EV_TT_D,Evaporación total diaria,Diaria,2020-01-21 00:00,0,-1,,900
24035430,TUNGUAVITA - AUT [24035430],5.7459166670,-73.11636111,2470,Agrometeorológica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Boyacá,Paipa,15/12/2004 00:00,,EVAPORACION,EV_TT_D,Evaporación total diaria,Diaria,2020-01-22 00:00,0,-1,,900
24035430,TUNGUAVITA - AUT [24035430],5.7459166670,-73.11636111,2470,Agrometeorológica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Boyacá,Paipa,15/12/2004 00:00,,EVAPORACION,EV_TT_D,Evaporación total diaria,Diaria,2020-01-23 00:00,0,50,,900
24035430,TUNGUAVITA - AUT [24035430],5.7459166670,-73.11636111,2470,Agrometeorológica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Boyacá,Paipa,15/12/2004 00:00,,EVAPORACION,EV_TT_D,Evaporación total diaria,Diaria,2020-01-24 00:00,0,-1,,900
24035430,TUNGUAVITA - AUT [24035430],5.7459166670,-73.11636111,2470,Agrometeorológica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Boyacá,Paipa,15/12/2004 00:00,,EVAPORACION,EV_TT_D,Evaporación total diaria,Diaria,2020-01-25 00:00,0,-1,,900
24035430,TUNGUAVITA - AUT [24035430],5.7459166670,-73.11636111,2470,Agrometeorológica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Boyacá,Paipa,15/12/2004 00:00,,EVAPORACION,EV_TT_D,Evaporación total diaria,Diaria,2020-01-26 00:00,0,50,,900
24035430,TUNGUAVITA - AUT [24035430],5.7459166670,-73.11636111,2470,Agrometeorológica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Boyacá,Paipa,15/12/2004 00:00,,EVAPORACION,EV_TT_D,Evaporación total diaria,Diaria,2020-01-27 00:00,0,50,,900
24035430,TUNGUAVITA - AUT [24035430],5.7459166670,-73.11636111,2470,Agrometeorológica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Boyacá,Paipa,15/12/2004 00:00,,EVAPORACION,EV_TT_D,Evaporación total diaria,Diaria,2020-01-28 00:00,0,-1,,900
24035430,TUNGUAVITA - AUT [24035430],5.7459166670,-73.11636111,2470,Agrometeorológica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Boyacá,Paipa,15/12/2004 00:00,,EVAPORACION,EV_TT_D,Evaporación total diaria,Diaria,2020-01-29 00:00,0,-1,,900
